Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average
Dominica,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Dominican Republic,,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
Early-demographic dividend,,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246133,33246103,33246063,33246043,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33245913,33246613,33246633,33145633,33138710,33138710,33138710,33138710,33110230,33110230,33110580,33110580,33110580,33110400,33108587,33108537,33108707,33108777,33108577,33109107,33109059,33109094,33108957,33108887,33107715,33107715,33107715,33190147.38
East Asia & Pacific,,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402170,24402140,24402100,24401970,24401970,24401860,24401860,24401860,24401760,24401860,24401650,24401650,24400150,24400050,24400150,24400050,24400050,24400050,24400050,24401850,24401850,24401850,24401850,24401900,24401790,24401790,24401790,24401790,24387350,24387660.2,24387175.2,24386716.7,24386619.5,24386588.8,24386734,24386825,24386730,24386790.5,24386932.7,24386969.9,24386956.9,24387004.3,24387020.3,24387020.3,24387020.3,24397195.44
East Asia & Pacific (excluding high income),,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928610,15928580,15928540,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15928520,15929860,15929860,15929860,15929860,15929850,15929840,15929840,15929840,15929840,15915400,15915424.2,15914883.2,15914402.7,15914282.5,15914221.8,15914331.4,15914380.8,15914170.8,15914161,15914121,15914151,15914011,15913941,15913941,15913941,15913941,15924448.49
East Asia & Pacific (IDA & IBRD countries),,15808020,15808020,15808020,15808020,15808020,15808020,15808020,15808020,15808020,15808020,15808020,15808020,15807990,15807950,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15807930,15809270,15809270,15809270,15809270,15809260,15809250,15809250,15809250,15809250,15794810,15794834.2,15794293.2,15793812.7,15793692.5,15793631.8,15793741.4,15793790.8,15793580.8,15793571,15793531,15793561,15793421,15793351,15793351,15793351,15793351,15803858.49
Ecuador,,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,267177.1429
"Egypt, Arab Rep.",,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
El Salvador,,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20850,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20754.82143
Equatorial Guinea,,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
